rank,name,ioc,dob
554,Carmen Andreea Herea,ROU,2005/11/28
555,Luca Udvardy,HUN,2005/11/4
556,Haruna Arakawa,JPN,1999/10/27
557,Mara Guth,GER,2003/6/24
558,Arina Bulatova,RUS,2006/4/18
559,Valentina Steiner,GER,2006/7/19
560,Robin Anderson,USA,1993/4/12
561,Sara Cakarevic,FRA,1997/3/12
562,Katy Dunne,GBR,1995/2/16
563,Lian Tran,NED,2002/7/19
564,Oceane Dodin,FRA,1996/10/24
565,Julie Pastikova,CZE,2008/5/31
566,Enola Chiesa,ITA,2000/7/16
567,Dana Guzman,PER,2003/3/22
568,Tamila Gadamauri,BEL,2005/2/21
569,Alena Kovackova,CZE,2008/6/13
570,Kristina Kroitor,RUS,2006/12/20
571,Ekaterina Perelygina,RUS,2006/8/11
572,Kayo Nishimura,JPN,2006/6/11
573,Dasha Ivanova,USA,1996/10/11
574,Sarah Rokusek,AUS,2006/4/11
575,Jessica Bertoldo,ITA,1992/10/1
576,Reina Goto,JPN,2007/9/11
577,Tian Jialin,CHN,2006/10/4
578,Nellie Taraba Wallberg,SWE,2007/3/30
579,Jenna Defalco,USA,2002/11/13
580,Milana Zhabrailova,RUS,2003/2/10
581,Ankita Raina,IND,1993/1/11
582,Rinko Matsuda,JPN,2005/4/10
583,Jana Kolodynska,BLR,2003/8/10
584,Iva Primorac,CRO,1996/4/10
585,Jana Otzipka,BEL,2005/2/1
586,Thasaporn Naklo,THA,2001/8/20
587,Aneta Laboutkova,CZE,2000/5/10
588,Natsuki Yoshimoto,JPN,2003/6/24
589,Justina Maria Gonzalez Daniele,ARG,2005/12/8
590,Eva Maria Ionescu,ROU,2007/6/9
591,Eleejah Inisan,FRA,2008/7/6
592,Riya Bhatia,IND,1997/9/24
593,Sara Daavettila,USA,1997/12/17
594,Jana Kovackova,CZE,2010/6/13
595,Johanne Christine Svendsen,DEN,2004/5/15
596,Shiho Akita,JPN,1990/1/18
597,Andre Lukosiute,LTU,2001/6/23
598,Valeriya Yushchenko,RUS,1999/6/26
599,Carolina Kuhl,GER,2005/4/4
600,Alexandra Vagramov,CAN,2001/6/1
601,Leonie Kung,SUI,2000/10/21
602,Martina Trevisan,ITA,1993/11/3
603,Mariia Tkacheva,RUS,2001/12/17
604,Dalayna Hewitt,USA,2000/12/16
605,Mariella Thamm,GER,2009/8/21
606,Petra Kvitova,CZE,1990/3/8
607,Ekaterina Makarova,RUS,1996/2/15
608,Noelia Zeballos,BOL,1994/5/2
609,Meiling Wang,CHN,2000/2/22
